11	827.118177	3.30E-24	8.07E-01	0.0704	0.36
11	827.192923	4.36E-26	6.60E-04	0.0596	0.281
11	827.671575	9.95E-24	5.72E-03	0.0754	0.351
11	827.707946	1.26E-25	1.16E+01	0.0265	0.195
11	827.742842	8.66E-24	4.96E-01	0.0526	0.295
13	827.932971	1.30E-27	1.29E+00	0.043	0.25
12	828.535397	4.59E-27	6.87E-05	0.0796	0.344
12	828.636606	3.87E-28	1.29E-03	0.0564	0.265
11	829.577795	1.54E-26	2.66E-02	0.03	0.195
11	829.712739	1.04E-27	2.95E-01	0.0294	0.195
12	829.746797	1.75E-28	5.72E-02	0.0792	0.298
11	830.166601	1.46E-28	1.94E-06	0.0691	0.298
11	830.575574	2.59E-26	2.28E-02	0.0707	0.333
11	830.602668	3.59E-28	8.77E-02	0.0263	0.172
11	830.686332	5.12E-27	2.66E-02	0.0299	0.195
11	830.73088	9.22E-26	6.36E-02	0.0792	0.298
12	831.30089	5.93E-28	3.34E+00	0.0539	0.221
11	831.450173	8.94E-28	1.33E-02	0.0584	0.25
11	832.284327	9.66E-27	6.90E-02	0.0598	0.333
11	832.783184	2.90E-26	6.90E-02	0.0582	0.333
12	832.84974	6.39E-27	1.30E+00	0.0414	0.253
11	832.927715	6.13E-28	9.30E+00	0.03	0.208
13	832.994406	6.58E-27	7.05E-02	0.0514	0.243
13	833.145153	2.20E-27	7.07E-02	0.049	0.246
13	833.323452	1.29E-28	2.04E+00	0.0398	0.235
11	833.933528	1.19E-28	8.77E-02	0.0243	0.172
13	834.809315	8.23E-28	6.73E-05	0.0796	0.344
11	835.553223	3.32E-24	1.27E+00	0.0675	0.367
11	835.727487	2.42E-26	7.10E-03	0.0734	0.265
12	835.922758	5.79E-28	7.80E-02	0.0306	0.235
11	836.008678	2.41E-26	1.98E-02	0.0578	0.25
11	836.031198	1.41E-28	3.33E-04	0.0698	0.315
13	836.330984	1.17E-27	1.32E+00	0.043	0.25
12	836.427959	1.94E-28	7.83E-02	0.0301	0.235
11	836.591495	1.69E-28	3.11E-02	0.0566	0.281
11	836.981286	2.20E-27	7.80E-03	0.046	0.265
13	837.672527	1.07E-28	7.94E-02	0.0306	0.235
12	837.683943	1.42E-28	1.20E-03	0.0545	0.265
13	838.045981	1.04E-28	3.25E+00	0.0368	0.221
11	838.048739	1.95E-25	1.37E-03	0.0564	0.265
11	839.642698	2.80E-25	7.97E-02	0.0306	0.235
12	839.733954	7.65E-26	1.96E-02	0.0722	0.332
11	839.872028	1.68E-23	7.01E-02	0.0514	0.243
11	839.906969	1.96E-28	4.36E-01	0.0314	0.235
11	840.009766	5.59E-24	7.00E-02	0.049	0.246
11	840.248264	9.39E-26	7.99E-02	0.0301	0.235
11	840.317424	3.07E-24	1.33E+00	0.0414	0.253
12	841.006587	2.20E-26	7.86E-01	0.044	0.297
11	841.101954	3.28E-25	1.99E+00	0.0602	0.235
11	841.412754	1.78E-26	2.50E-04	0.0753	0.281
11	841.612484	2.06E-26	7.54E-03	0.0664	0.221
11	841.902819	2.12E-24	6.58E-05	0.0796	0.344
11	842.096363	8.82E-27	7.72E-01	0.0495	0.281
